CD_CLI;NR_CTR;VR_CTR;DT_CTR;N_PARCELA;VR_PARCELA;CODIGO
177;277;3463;09-fev.-15;36;96,19;177
178;278;6978;09-fev.-15;36;193,83;178
179;279;9603;09-fev.-15;48;200,06;179
180;280;3114;09-fev.-15;18;173,00;180
181;281;5093;09-fev.-15;36;141,47;181
182;282;560;09-fev.-15;24;23,33;182
183;283;8126;09-fev.-15;36;225,72;183
184;284;221;09-fev.-15;24;139,54;184
185;285;5383;09-fev.-15;36;149,53;185
186;286;2781;09-fev.-15;18;154,50;186
187;287;2898;09-fev.-15;18;161,00;187
188;288;5956;09-fev.-15;42;141,81;188
189;289;9620;09-fev.-15;48;200,42;189
190;290;353;09-fev.-15;36;115,50;190
191;291;1319;09-fev.-15;12;109,92;191
192;292;6401;09-fev.-15;24;266,71;192
193;293;8020;09-fev.-15;36;222,78;193
194;294;4614;09-fev.-15;24;192,25;194
195;295;3024;09-fev.-15;18;168,00;195
196;296;9616;09-fev.-15;48;200,33;196
197;297;4399;09-fev.-15;36;122,19;197
198;298;5780;09-fev.-15;60;96,33;198
199;299;5832;09-fev.-15;24;243,00;199
200;300;4942;09-fev.-15;48;102,96;200
201;301;8702;09-fev.-15;80;108,78;201
202;302;8653;09-fev.-15;80;108,16;202
203;303;7600;09-fev.-15;72;105,56;203
204;304;7502;09-fev.-15;72;104,19;204
205;305;3898;09-fev.-15;36;108,28;205
206;306;5454;09-fev.-15;42;129,86;206
207;307;7615;09-fev.-15;72;105,76;207
208;308;9995;09-fev.-15;36;277,64;208
209;309;5231;09-fev.-15;72;72,65;209
210;310;3256;09-fev.-15;24;135,67;210
211;311;2335;09-fev.-15;12;194,58;211
212;312;6368;09-fev.-15;48;132,67;212
213;313;3045;09-fev.-15;18;169,17;213
214;314;9255;09-fev.-15;60;154,25;214
215;315;8146;09-fev.-15;36;226,28;215
216;316;90;09-fev.-15;36;190,19;216
217;317;1918;09-fev.-15;24;79,92;217
218;318;8445;09-fev.-15;60;140,75;218
219;319;3350;09-fev.-15;24;139,58;219
220;320;6735;09-fev.-15;24;280,63;220
221;321;3800;09-fev.-15;36;105,56;221
222;322;2462;09-fev.-15;12;205,17;222
223;323;4041;09-fev.-15;36;112,25;223
224;324;7047;09-fev.-15;36;195,75;224
225;325;7064;09-fev.-15;36;196,22;225
226;326;7524;09-fev.-15;72;104,50;226
227;327;3172;09-fev.-15;24;132,17;227
228;328;6130;09-fev.-15;60;102,17;228
229;329;6038;09-fev.-15;60;100,63;229
230;330;5091;09-fev.-15;36;141,42;230
231;331;9579;09-fev.-15;48;199,56;231
232;332;1030;09-fev.-15;15;68,67;232
233;333;3921;09-fev.-15;36;108,92;233
234;334;1012;09-fev.-15;15;67,47;234
235;335;5420;09-fev.-15;36;150,56;235
236;336;4516;09-fev.-15;24;188,17;236
237;337;9933;09-fev.-15;48;206,94;237
238;338;631;09-fev.-15;12;52,58;238
239;339;9432;09-fev.-15;48;196,50;239
240;340;3243;09-fev.-15;24;135,13;240
241;341;7978;09-fev.-15;36;221,61;241
242;342;5893;09-fev.-15;42;140,31;242
243;343;4657;09-fev.-15;24;194,04;243
244;344;7364;09-fev.-15;72;102,28;244
245;345;7405;09-fev.-15;72;102,85;245
246;346;4876;09-fev.-15;48;101,58;246
247;347;7632;09-fev.-15;72;106,00;247
248;348;8478;09-fev.-15;80;105,98;248
249;349;5378;09-fev.-15;36;149,39;249
250;350;8821;09-fev.-15;96;91,89;250
251;351;7233;09-fev.-15;36;200,92;251
252;352;14;09-fev.-15;36;199,03;252
253;353;313;09-fev.-15;48;110,58;253
254;354;1138;09-fev.-15;24;47,42;254
255;355;8319;09-fev.-15;24;346,63;255
256;356;6238;09-fev.-15;48;129,96;256
257;357;5144;09-fev.-15;36;142,89;257
258;358;7444;09-fev.-15;72;103,39;258
259;359;4151;09-fev.-15;36;115,31;259
260;360;493;09-fev.-15;24;20,54;260
261;361;7260;09-fev.-15;72;100,83;261
262;362;8536;09-fev.-15;80;106,70;262
263;363;1273;09-fev.-15;24;53,04;263
264;364;6443;09-fev.-15;24;268,46;264
265;365;6501;09-fev.-15;24;270,88;265
266;366;7445;09-fev.-15;72;103,40;266
267;367;8599;09-fev.-15;80;107,49;267
268;368;899;09-fev.-15;15;59,93;268
269;369;8101;09-fev.-15;36;225,03;269
270;370;8652;09-fev.-15;80;108,15;270
271;371;6413;09-fev.-15;24;267,21;271
272;372;2715;09-fev.-15;18;150,83;272
273;373;7018;09-fev.-15;36;194,94;273
274;374;1356;09-fev.-15;12;113,00;274
275;375;4965;09-fev.-15;48;103,44;275
276;376;2721;09-fev.-15;18;151,17;276
277;377;7214;09-fev.-15;36;200,39;277
278;378;7115;09-fev.-15;36;197,64;278
279;379;8269;09-fev.-15;12;689,08;279
280;380;5134;09-fev.-15;36;142,61;280
281;381;8820;09-fev.-15;96;91,88;281
282;382;8502;09-fev.-15;80;106,28;282
283;383;37;09-fev.-15;48;195,81;283
284;384;6329;09-fev.-15;48;131,85;284
285;385;1434;09-fev.-15;12;119,50;285
286;386;4555;09-fev.-15;24;189,79;286
287;387;9869;09-fev.-15;72;137,07;287
288;388;9401;09-fev.-15;48;195,85;288
289;389;7427;09-fev.-15;72;103,15;289
290;390;8053;09-fev.-15;36;223,69;290
291;391;2603;09-fev.-15;12;216,92;291
292;392;4614;09-fev.-15;24;192,25;292
293;393;2030;09-fev.-15;24;84,58;293
294;394;8301;09-fev.-15;24;345,88;294
295;395;5285;09-fev.-15;72;73,40;295
296;396;5067;09-fev.-15;36;140,75;296
297;397;6013;09-fev.-15;42;143,17;297
298;398;1524;09-fev.-15;15;101,60;298
299;399;2967;09-fev.-15;18;164,83;299
300;400;4183;09-fev.-15;36;116,19;300
301;401;2832;09-fev.-15;18;157,33;301
302;402;2244;09-fev.-15;18;124,67;302
303;403;6005;09-fev.-15;42;142,98;303
304;404;9585;09-fev.-15;48;199,69;304
305;405;2400;09-fev.-15;12;200,00;305
306;406;5821;09-fev.-15;24;242,54;306
307;407;8410;09-fev.-15;60;140,17;307
308;408;4817;09-fev.-15;24;200,71;308
309;409;2162;09-fev.-15;18;120,11;309
310;410;736;09-fev.-15;15;49,07;310
311;411;6551;09-fev.-15;24;272,96;311
312;412;1550;09-fev.-15;15;103,33;312
313;413;9368;09-fev.-15;60;156,13;313
314;414;8610;09-fev.-15;80;107,63;314
315;415;924;09-fev.-15;15;61,60;315
316;416;6732;09-fev.-15;24;280,50;316
317;417;1529;09-fev.-15;15;101,93;317
318;418;6452;09-fev.-15;24;268,83;318
319;419;619;09-fev.-15;12;51,58;319
320;420;963;09-fev.-15;15;64,20;320
321;421;3674;09-fev.-15;36;102,06;321
322;422;8018;09-fev.-15;36;222,72;322
323;423;7214;09-fev.-15;36;200,39;323
324;424;2521;09-fev.-15;12;210,08;324
325;425;5951;09-fev.-15;42;141,69;325
326;426;6820;09-fev.-15;36;189,44;326
327;427;9055;09-fev.-15;60;150,92;327
328;428;5064;09-fev.-15;36;140,67;328
329;429;1441;09-fev.-15;12;120,08;329
330;430;756;09-fev.-15;15;50,40;330
331;431;6465;09-fev.-15;24;269,38;331
332;432;6115;09-fev.-15;60;101,92;332
333;433;6462;09-fev.-15;24;269,25;333
334;434;5524;09-fev.-15;42;131,52;334
335;435;8603;09-fev.-15;80;107,54;335
336;436;97;09-fev.-15;18;126,44;336
337;437;3266;09-fev.-15;24;136,08;337
338;438;4358;09-fev.-15;36;121,06;338
339;439;948;09-fev.-15;15;63,20;339
340;440;9853;09-fev.-15;36;273,69;340
341;441;132;09-fev.-15;72;102,39;341
342;442;9398;09-fev.-15;48;195,79;342
343;443;5040;09-fev.-15;36;140,00;343
344;444;7607;09-fev.-15;72;105,65;344
345;445;8134;09-fev.-15;36;225,94;345
346;446;8841;09-fev.-15;96;92,09;346
347;447;5848;09-fev.-15;36;162,44;347
348;448;2589;09-fev.-15;12;215,75;348
349;449;7522;09-fev.-15;72;104,47;349
350;450;9388;09-fev.-15;48;195,58;350
351;451;4595;09-fev.-15;24;191,46;351
352;452;8399;09-fev.-15;60;139,98;352
353;453;7597;09-fev.-15;72;105,51;353
354;454;8337;09-fev.-15;60;138,95;354
355;455;9633;09-fev.-15;48;200,69;355
356;456;5441;09-fev.-15;36;151,14;356
357;457;4861;09-fev.-15;24;202,54;357
358;458;8948;09-fev.-15;60;149,13;358
359;459;9299;09-fev.-15;60;154,98;359
360;460;6379;09-fev.-15;48;132,90;360
361;461;4916;09-fev.-15;48;102,42;361
362;462;2029;09-fev.-15;24;84,54;362
363;463;176;09-fev.-15;36;150,92;363
364;464;3072;09-fev.-15;18;170,67;364
365;465;2728;09-fev.-15;18;151,56;365
366;466;3820;09-fev.-15;36;106,11;366
367;467;1942;09-fev.-15;24;80,92;367
368;468;5181;09-fev.-15;72;71,96;368
369;469;4975;09-fev.-15;48;103,65;369
370;470;8080;09-fev.-15;36;224,44;370
371;471;1707;09-fev.-15;15;113,80;371
372;472;4371;09-fev.-15;36;121,42;372
373;473;8357;09-fev.-15;60;139,28;373
374;474;6466;09-fev.-15;24;269,42;374
375;475;9872;09-fev.-15;36;274,22;375
376;476;5087;09-fev.-15;36;141,31;376
377;477;8062;09-fev.-15;36;223,94;377
378;478;5550;09-fev.-15;42;132,14;378
379;479;1731;09-fev.-15;15;115,40;379
380;480;5932;09-fev.-15;42;141,24;380
381;481;1078;09-fev.-15;24;44,92;381
382;482;1778;09-fev.-15;15;118,53;382
383;483;1970;09-fev.-15;24;82,08;383
384;484;2555;09-fev.-15;12;212,92;384
385;485;474;09-fev.-15;24;19,75;385
386;486;1551;09-fev.-15;15;103,40;386
387;487;4154;09-fev.-15;36;115,39;387
388;488;8745;09-fev.-15;80;109,31;388
389;489;9238;09-fev.-15;60;153,97;389
390;490;165;09-fev.-15;24;192,38;390
391;491;8052;09-fev.-15;36;223,67;391
392;492;3896;09-fev.-15;36;108,22;392
393;493;2364;09-fev.-15;12;197,00;393
394;494;4350;12-mar.-15;36;120,83;394
395;495;8064;12-mar.-15;36;224,00;395
396;496;8548;12-mar.-15;80;106,85;396
397;497;33;12-mar.-15;12;27,17;397
398;498;2158;12-mar.-15;18;119,89;398
399;499;7282;12-mar.-15;72;101,14;399
400;500;8943;12-mar.-15;60;149,05;400
401;501;5345;12-mar.-15;36;148,47;401
402;502;9933;12-mar.-15;36;275,92;402
403;503;6412;12-mar.-15;24;267,17;403
404;504;2006;12-mar.-15;24;83,58;404
405;505;3887;12-mar.-15;36;107,97;405
406;506;4758;12-mar.-15;24;198,25;406
407;507;7418;12-mar.-15;72;103,03;407
408;508;8051;12-mar.-15;36;223,64;408
409;509;8097;12-mar.-15;36;224,92;409
410;510;3873;12-mar.-15;36;107,58;410
411;511;2681;12-mar.-15;18;148,94;411
412;512;5300;12-mar.-15;72;73,61;412
413;513;2745;12-mar.-15;18;152,50;413
414;514;4712;12-mar.-15;24;196,33;414
415;515;2167;12-mar.-15;18;120,39;415
416;516;7780;12-mar.-15;72;108,06;416
417;517;4146;12-mar.-15;36;115,17;417
418;518;7006;12-mar.-15;36;194,61;418
419;519;6389;12-mar.-15;24;266,21;419
420;520;6206;12-mar.-15;48;129,29;420
421;521;1180;12-mar.-15;24;49,17;421
422;522;2212;12-mar.-15;18;122,89;422
423;523;9616;12-mar.-15;48;200,33;423
424;524;8377;12-mar.-15;60;139,62;424
425;525;2662;12-mar.-15;18;147,89;425
426;526;3873;12-mar.-15;36;107,58;426
427;527;4668;12-mar.-15;24;194,50;427
428;528;8052;12-mar.-15;36;223,67;428
429;529;6627;12-mar.-15;24;276,13;429
430;530;7437;12-mar.-15;72;103,29;430
431;531;6417;12-mar.-15;24;267,38;431
432;532;6303;12-mar.-15;48;131,31;432
433;533;2928;12-mar.-15;18;162,67;433
434;534;1119;12-mar.-15;24;46,63;434
435;535;2320;12-mar.-15;12;193,33;435
436;536;9590;12-mar.-15;48;199,79;436
437;537;8287;12-mar.-15;24;345,29;437
438;538;2095;12-mar.-15;24;87,29;438
439;539;2063;12-mar.-15;24;85,96;439
440;540;5614;12-mar.-15;42;133,67;440
441;541;2719;12-mar.-15;18;151,06;441
442;542;65;12-mar.-15;72;102,58;442
443;543;8657;12-mar.-15;80;108,21;443
444;544;4797;12-mar.-15;24;199,88;444
445;545;879;12-mar.-15;15;58,60;445
446;546;4076;12-mar.-15;36;113,22;446
447;547;7449;12-mar.-15;72;103,46;447
448;548;7855;12-mar.-15;60;130,92;448
449;549;3686;12-mar.-15;36;102,39;449
450;550;9691;12-mar.-15;48;201,90;450
451;551;6296;12-mar.-15;48;131,17;451
452;552;9501;12-mar.-15;48;197,94;452
453;553;1082;12-mar.-15;24;45,08;453
454;554;2484;12-mar.-15;12;207,00;454
455;555;2066;12-mar.-15;24;86,08;455
456;556;7866;12-mar.-15;60;131,10;456
457;557;7582;12-mar.-15;72;105,31;457
458;558;2169;12-mar.-15;18;120,50;458
459;559;6044;12-mar.-15;60;100,73;459
460;560;1521;12-mar.-15;15;101,40;460
461;561;9197;12-mar.-15;60;153,28;461
462;562;4214;12-mar.-15;36;117,06;462
463;563;5973;12-mar.-15;42;142,21;463
464;564;7020;12-mar.-15;36;195,00;464
465;565;1041;12-mar.-15;24;43,38;465
466;566;5661;12-mar.-15;42;134,79;466
467;567;5991;12-mar.-15;42;142,64;467
468;568;1917;12-mar.-15;24;79,88;468
469;569;6755;12-mar.-15;24;281,46;469
470;570;214;12-mar.-15;12;212,75;470
471;571;2496;12-mar.-15;12;208,00;471
472;572;3602;12-mar.-15;36;100,06;472
473;573;6006;12-mar.-15;42;143,00;473
474;574;6314;12-mar.-15;48;131,54;474
475;575;2734;12-mar.-15;18;151,89;475
476;576;8969;12-mar.-15;60;149,48;476
477;577;3429;12-mar.-15;24;142,88;477
478;578;8573;12-mar.-15;80;107,16;478
479;579;5251;12-mar.-15;72;72,93;479
480;580;9057;12-mar.-15;60;150,95;480
481;581;2303;12-mar.-15;12;191,92;481
482;582;3625;12-mar.-15;36;100,69;482
483;583;9876;12-mar.-15;36;274,33;483
484;584;5362;12-mar.-15;36;148,94;484
485;585;9939;12-mar.-15;36;276,08;485
486;586;5449;12-mar.-15;42;129,74;486
487;587;3652;12-mar.-15;36;101,44;487
488;588;2511;12-mar.-15;12;209,25;488
489;589;4819;12-mar.-15;24;200,79;489
490;590;1706;12-mar.-15;15;113,73;490
491;591;6657;12-mar.-15;24;277,38;491
492;592;9479;12-mar.-15;48;197,48;492
493;593;3856;12-mar.-15;36;107,11;493
494;594;9484;12-mar.-15;48;197,58;494
495;595;3644;12-mar.-15;36;101,22;495
496;596;5395;12-mar.-15;36;149,86;496
497;597;3256;12-mar.-15;24;135,67;497
498;598;4236;12-mar.-15;36;117,67;498
499;599;4559;12-mar.-15;24;189,96;499
500;600;9761;12-mar.-15;36;271,14;500
501;601;4484;12-mar.-15;36;124,56;501
502;602;3558;12-mar.-15;36;98,83;502
503;603;3419;12-mar.-15;24;142,46;503
504;604;7829;12-mar.-15;72;108,74;504
505;605;379;12-mar.-15;18;21,06;505
506;606;9201;12-mar.-15;60;153,35;506
507;607;8632;12-mar.-15;80;107,90;507
508;608;6335;12-mar.-15;48;131,98;508
509;609;5679;12-mar.-15;42;135,21;509
510;610;4869;12-mar.-15;48;101,44;510
511;611;9466;12-mar.-15;48;197,21;511
512;612;4967;12-mar.-15;48;103,48;512
513;613;9262;12-mar.-15;60;154,37;513
514;614;2319;12-mar.-15;12;193,25;514
515;615;4635;12-mar.-15;24;193,13;515
516;616;3810;12-mar.-15;36;105,83;516
517;617;8527;12-mar.-15;80;106,59;517
518;618;9704;12-mar.-15;36;269,56;518
519;619;6037;12-mar.-15;60;100,62;519
520;620;6388;12-mar.-15;24;266,17;520
521;621;2399;12-mar.-15;12;199,92;521
522;622;7011;12-mar.-15;36;194,75;522
523;623;4267;12-mar.-15;36;118,53;523
524;624;6900;12-mar.-15;36;191,67;524
525;625;8769;12-mar.-15;80;109,61;525
526;626;6767;12-mar.-15;24;281,96;526
527;627;5052;12-mar.-15;36;140,33;527
528;628;2584;12-mar.-15;12;215,33;528
529;629;1169;12-mar.-15;24;48,71;529
530;630;2618;12-mar.-15;18;145,44;530
531;631;3468;12-mar.-15;36;96,33;531
532;632;4919;12-mar.-15;48;102,48;532
533;633;3793;12-mar.-15;36;105,36;533
534;634;3938;12-mar.-15;36;109,39;534
535;635;2155;12-mar.-15;18;119,72;535
536;636;6243;12-mar.-15;48;130,06;536
537;637;5913;12-mar.-15;42;140,79;537
538;638;5581;12-mar.-15;42;132,88;538
539;639;6596;12-mar.-15;24;274,83;539
540;640;123;12-mar.-15;24;266,00;540
541;641;4248;12-mar.-15;36;118,00;541
542;642;3599;12-mar.-15;36;99,97;542
543;643;8621;12-mar.-15;80;107,76;543
544;644;3612;12-mar.-15;36;100,33;544
545;645;1081;12-mar.-15;24;45,04;545
546;646;5591;12-mar.-15;42;133,12;546
547;647;2654;12-mar.-15;18;147,44;547
548;648;6540;12-mar.-15;24;272,50;548
549;649;5131;12-mar.-15;36;142,53;549
550;650;6274;12-mar.-15;48;130,71;550
551;651;801;12-mar.-15;15;53,40;551
552;652;1836;12-mar.-15;15;122,40;552
553;653;5768;12-mar.-15;60;96,13;553
554;654;6890;12-mar.-15;36;191,39;554
555;655;9895;12-mar.-15;60;164,92;555
556;656;7727;12-mar.-15;72;107,32;556
557;657;3901;12-mar.-15;36;108,36;557
558;658;3440;12-mar.-15;36;95,56;558
559;659;7504;12-mar.-15;72;104,22;559
560;660;2310;12-mar.-15;12;192,50;560
561;661;3278;12-mar.-15;24;136,58;561
562;662;3130;12-mar.-15;24;130,42;562
563;663;8408;12-mar.-15;60;140,13;563
564;664;2376;12-mar.-15;12;198,00;564
565;665;145;12-mar.-15;48;102,42;565
566;666;823;12-mar.-15;15;54,87;566
567;667;1165;12-mar.-15;24;48,54;567
568;668;7656;12-mar.-15;72;106,33;568
569;669;73;12-mar.-15;24;189,42;569
570;670;9294;12-mar.-15;60;154,90;570
571;671;1558;12-mar.-15;15;103,87;571
572;672;4107;12-mar.-15;36;114,08;572
573;673;8345;12-mar.-15;60;139,08;573
574;674;7977;12-mar.-15;36;221,58;574
575;675;4596;12-mar.-15;24;191,50;575
576;676;4432;12-mar.-15;36;123,11;576
577;677;8186;12-mar.-15;48;170,54;577
578;678;3803;12-mar.-15;36;105,64;578
579;679;7228;12-mar.-15;36;200,78;579
580;680;132;12-mar.-15;24;140,75;580
581;681;4825;12-mar.-15;24;201,04;581
582;682;8316;12-mar.-15;24;346,50;582
583;683;3610;12-mar.-15;36;100,28;583
584;684;2919;12-mar.-15;18;162,17;584
585;685;517;12-mar.-15;24;21,54;585
586;686;3646;12-mar.-15;36;101,28;586
587;687;9232;12-mar.-15;60;153,87;587
588;688;7529;12-mar.-15;72;104,57;588
589;689;5297;12-mar.-15;72;73,57;589
590;690;3424;12-mar.-15;24;142,67;590
591;691;5792;12-mar.-15;60;96,53;591
592;692;7764;12-mar.-15;72;107,83;592
593;693;5414;12-mar.-15;36;150,39;593
594;694;571;12-mar.-15;24;23,79;594
595;695;7742;12-mar.-15;72;107,53;595
596;696;13;12-mar.-15;12;213,83;596
597;697;1654;12-mar.-15;15;110,27;597
598;698;8553;12-mar.-15;80;106,91;598
599;699;4299;12-mar.-15;36;119,42;599
600;700;8941;12-mar.-15;60;149,02;600
601;701;3683;12-mar.-15;36;102,31;601
602;702;6887;12-mar.-15;36;191,31;602
603;703;338;12-mar.-15;360;276,09;603
604;704;491;12-mar.-15;24;20,46;604
605;705;9920;12-mar.-15;60;165,33;605
606;706;5525;12-mar.-15;42;131,55;606
